Column Name,Description,Source
PctImp2016Ws,% of watershed area classified as impervious surface from NLCD 2016.,StreamCat
PctImp2019Ws,% of watershed area classified as impervious surface from NLCD 2019.,StreamCat
PctMxFst2016Ws,% of watershed area classified as mixed deciduous/evergreen forest land cover (NLCD 2016 class 43),StreamCat
PctNonCarbResidWs,% of watershed area classified as lithology type: non-carbonate residual material,StreamCat
PctOw2016Ws,% of watershed area classified as open water land cover (NLCD 2016 class 11),StreamCat
PctSalLakeWs,% of watershed area classified as lithology type: saline like sediment,StreamCat
PctShrb2016Ws,% of watershed area classified as shrub/scrub land cover (NLCD 2016 class 52),StreamCat
PctSilicicWs,% of watershed area classified as lithology type: silicic residual material,StreamCat
PctUrbHi2016Ws,"% of watershed area classified as developed, high-intensity land use (NLCD 2016 class 24)",StreamCat
PctUrbLo2016Ws,"% of watershed area classified as developed, low-intensity land use (NLCD 2016 class 22)",StreamCat
PctUrbMd2016Ws,"% of watershed area classified as developed, medium-intensity land use (NLCD 2016 class 23)",StreamCat
PctUrbOp2016Ws,"% of watershed area classified as developed, open space land use (NLCD 2016 class 21)",StreamCat
PctWaterWs,% of watershed area classified as lithology type: water,StreamCat
PctWdWet2016Ws,% of watershed area classified as woody wetland land cover (NLCD 2016 class 90),StreamCat
percentile_20,20th percentile streamflow statistic for the linked stream gage/source.,GROWdb flow/gage linkage fields
percentile_80,80th percentile streamflow statistic for the linked stream gage/source.,GROWdb flow/gage linkage fields
PermWs,Mean permeability (cm/hour) of soils (STATSGO) within watershed,StreamCat
PopDen2010Ws,Mean population density (people/square km) within watershed,StreamCat
Precip_Minus_EVTWs,Watershed-scale precipitation minus evapotranspiration.,StreamCat
Precip08Ws,PRISM climate data - Mean precipitation (mm) within the watershed. Period: 2008,StreamCat
Precip09Ws,PRISM climate data - Mean precipitation (mm) within the watershed. Period: 2009,StreamCat
precip2008ws,Watershed-scale precipitation for 2008.,StreamCat
precip2009ws,Watershed-scale precipitation for 2009.,StreamCat
PrecipSite,Precipitation at the sample/site location.,GROWdb site/watershed derived attributes
PrecipWs,Watershed-scale precipitation.,StreamCat
qa_01,NHDPlusV2 QA flow/velocity estimate field for month 01; original NHDPlusV2 field name retained.,NHDPlusV2
qa_02,NHDPlusV2 QA flow/velocity estimate field for month 02; original NHDPlusV2 field name retained.,NHDPlusV2
qa_03,NHDPlusV2 QA flow/velocity estimate field for month 03; original NHDPlusV2 field name retained.,NHDPlusV2
qa_04,NHDPlusV2 QA flow/velocity estimate field for month 04; original NHDPlusV2 field name retained.,NHDPlusV2
qa_05,NHDPlusV2 QA flow/velocity estimate field for month 05; original NHDPlusV2 field name retained.,NHDPlusV2
qa_06,NHDPlusV2 QA flow/velocity estimate field for month 06; original NHDPlusV2 field name retained.,NHDPlusV2
qa_07,NHDPlusV2 QA flow/velocity estimate field for month 07; original NHDPlusV2 field name retained.,NHDPlusV2
qa_08,NHDPlusV2 QA flow/velocity estimate field for month 08; original NHDPlusV2 field name retained.,NHDPlusV2
qa_09,NHDPlusV2 QA flow/velocity estimate field for month 09; original NHDPlusV2 field name retained.,NHDPlusV2
qa_10,NHDPlusV2 QA flow/velocity estimate field for month 10; original NHDPlusV2 field name retained.,NHDPlusV2
qa_11,NHDPlusV2 QA flow/velocity estimate field for month 11; original NHDPlusV2 field name retained.,NHDPlusV2
qa_12,NHDPlusV2 QA flow/velocity estimate field for month 12; original NHDPlusV2 field name retained.,NHDPlusV2
qa_ma,NHDPlusV2 QA flow/velocity estimate field for mean annual; original NHDPlusV2 field name retained.,NHDPlusV2
qc_01,NHDPlusV2 QC flow/velocity estimate field for month 01; original NHDPlusV2 field name retained.,NHDPlusV2
qc_02,NHDPlusV2 QC flow/velocity estimate field for month 02; original NHDPlusV2 field name retained.,NHDPlusV2
qc_03,NHDPlusV2 QC flow/velocity estimate field for month 03; original NHDPlusV2 field name retained.,NHDPlusV2
qc_04,NHDPlusV2 QC flow/velocity estimate field for month 04; original NHDPlusV2 field name retained.,NHDPlusV2
qc_05,NHDPlusV2 QC flow/velocity estimate field for month 05; original NHDPlusV2 field name retained.,NHDPlusV2
qc_06,NHDPlusV2 QC flow/velocity estimate field for month 06; original NHDPlusV2 field name retained.,NHDPlusV2
qc_07,NHDPlusV2 QC flow/velocity estimate field for month 07; original NHDPlusV2 field name retained.,NHDPlusV2
qc_08,NHDPlusV2 QC flow/velocity estimate field for month 08; original NHDPlusV2 field name retained.,NHDPlusV2
qc_09,NHDPlusV2 QC flow/velocity estimate field for month 09; original NHDPlusV2 field name retained.,NHDPlusV2
qc_10,NHDPlusV2 QC flow/velocity estimate field for month 10; original NHDPlusV2 field name retained.,NHDPlusV2
qc_11,NHDPlusV2 QC flow/velocity estimate field for month 11; original NHDPlusV2 field name retained.,NHDPlusV2
qc_12,NHDPlusV2 QC flow/velocity estimate field for month 12; original NHDPlusV2 field name retained.,NHDPlusV2
qc_ma,NHDPlusV2 QC flow/velocity estimate field for mean annual; original NHDPlusV2 field name retained.,NHDPlusV2
qe_01,NHDPlusV2 QE flow/velocity estimate field for month 01; original NHDPlusV2 field name retained.,NHDPlusV2
qe_02,NHDPlusV2 QE flow/velocity estimate field for month 02; original NHDPlusV2 field name retained.,NHDPlusV2
qe_03,NHDPlusV2 QE flow/velocity estimate field for month 03; original NHDPlusV2 field name retained.,NHDPlusV2
qe_04,NHDPlusV2 QE flow/velocity estimate field for month 04; original NHDPlusV2 field name retained.,NHDPlusV2
qe_05,NHDPlusV2 QE flow/velocity estimate field for month 05; original NHDPlusV2 field name retained.,NHDPlusV2
qe_06,NHDPlusV2 QE flow/velocity estimate field for month 06; original NHDPlusV2 field name retained.,NHDPlusV2
qe_07,NHDPlusV2 QE flow/velocity estimate field for month 07; original NHDPlusV2 field name retained.,NHDPlusV2
qe_08,NHDPlusV2 QE flow/velocity estimate field for month 08; original NHDPlusV2 field name retained.,NHDPlusV2
qe_09,NHDPlusV2 QE flow/velocity estimate field for month 09; original NHDPlusV2 field name retained.,NHDPlusV2
qe_10,NHDPlusV2 QE flow/velocity estimate field for month 10; original NHDPlusV2 field name retained.,NHDPlusV2
qe_11,NHDPlusV2 QE flow/velocity estimate field for month 11; original NHDPlusV2 field name retained.,NHDPlusV2
qe_12,NHDPlusV2 QE flow/velocity estimate field for month 12; original NHDPlusV2 field name retained.,NHDPlusV2
qe_ma,NHDPlusV2 QE flow/velocity estimate field for mean annual; original NHDPlusV2 field name retained.,NHDPlusV2
rareahload,"Reservoir/lake area hydraulic-load attribute from NHDPlusV2, where available.",NHDPlusV2
RckDepWs,Mean depth (cm) to bedrock of soils (STATSGO) within watershed,StreamCat
RdDensWs,Density of roads (2010 Census Tiger Lines) within watershed (km/square km),StreamCat
reachcode,NHDPlusV2 reach code for the linked flowline.,NHDPlusV2
resolution,NHDPlusV2 feature resolution field.,NHDPlusV2
rpuid,NHDPlusV2 region processing unit identifier.,NHDPlusV2
rtndiv,NHDPlusV2 return divergence attribute.,NHDPlusV2
RunoffWs,Mean runoff (mm) within watershed,StreamCat
SampleName,Unique GROW sample/site identifier.,GROWdb metadata
SandWs,Mean % sand content of soils (STATSGO) within watershed,StreamCat
shape_length,Shape length of the linked NHDPlusV2 feature.,NHDPlusV2
SiO2Ws,Mean % of lithological silicon dioxide (SiO2) content in surface or near surface geology within watershed,StreamCat
slope,NHDPlusV2 slope attribute for the linked flowline.,NHDPlusV2
slopelenkm,Slope length in kilometers from NHDPlusV2.,NHDPlusV2
source,Source dataset or workflow used for the linked flow/streamflow values.,GROWdb metadata
startflag,NHDPlusV2 start flag.,NHDPlusV2
status,"Indicates whether a sample is new, old, or missing relative to the previous GROW version. Sites present in the older GROW but not included in the newer spreadsheets are labeled as ""missing"" so they can still be tracked if desired.",GROWdb metadata
streamcalc,NHDPlusV2 stream calculator/order-related attribute.,NHDPlusV2
streamleve,NHDPlusV2 stream level attribute.,NHDPlusV2
streamorde,NHDPlusV2 stream order attribute.,NHDPlusV2
surfarea,Surface area attribute from NHDPlusV2.,NHDPlusV2
SWs,Mean % of lithological sulfur (S) content in surface or near surface geology within watershed,StreamCat
terminalfl,NHDPlusV2 terminal flag.,NHDPlusV2
terminalpa,NHDPlusV2 terminal path identifier.,NHDPlusV2
tidal,NHDPlusV2 tidal flag.,NHDPlusV2
TmaxSite,Maximum temperature at the sample/site location.,GROWdb site/watershed derived attributes
TmaxWs,Watershed-scale maximum temperature.,StreamCat
Tmean08Ws,PRISM climate data - Mean temperature (¡C) within the watershed. Period: 2008,StreamCat
Tmean09Ws,PRISM climate data - Mean temperature (¡C) within the watershed. Period: 2009,StreamCat
tmean2008ws,Watershed-scale mean temperature for 2008.,StreamCat
tmean2009ws,Watershed-scale mean temperature for 2009.,StreamCat
TmeanSite,Mean temperature at the sample/site location.,GROWdb site/watershed derived attributes
TmeanWs,Watershed-scale mean temperature.,StreamCat
TminSite,Minimum temperature at the sample/site location.,GROWdb site/watershed derived attributes
TminWs,Watershed-scale minimum temperature.,StreamCat
tomeas,To-measure along the linked NHDPlusV2 reach.,NHDPlusV2
tonode,Downstream node identifier for the linked NHDPlusV2 flowline.,NHDPlusV2
totdasqkm,Total drainage area in square kilometers from NHDPlusV2.,NHDPlusV2
totma,NHDPlusV2 total mean annual flow/flow accumulation attribute.,NHDPlusV2
uphydroseq,Upstream NHDPlusV2 hydrologic sequence number.,NHDPlusV2
uplevelpat,Upstream NHDPlusV2 level path identifier.,NHDPlusV2
va_01,NHDPlusV2 VA flow/velocity estimate field for month 01; original NHDPlusV2 field name retained.,NHDPlusV2
va_02,NHDPlusV2 VA flow/velocity estimate field for month 02; original NHDPlusV2 field name retained.,NHDPlusV2
va_03,NHDPlusV2 VA flow/velocity estimate field for month 03; original NHDPlusV2 field name retained.,NHDPlusV2
va_04,NHDPlusV2 VA flow/velocity estimate field for month 04; original NHDPlusV2 field name retained.,NHDPlusV2
va_05,NHDPlusV2 VA flow/velocity estimate field for month 05; original NHDPlusV2 field name retained.,NHDPlusV2
va_06,NHDPlusV2 VA flow/velocity estimate field for month 06; original NHDPlusV2 field name retained.,NHDPlusV2
va_07,NHDPlusV2 VA flow/velocity estimate field for month 07; original NHDPlusV2 field name retained.,NHDPlusV2
va_08,NHDPlusV2 VA flow/velocity estimate field for month 08; original NHDPlusV2 field name retained.,NHDPlusV2
va_09,NHDPlusV2 VA flow/velocity estimate field for month 09; original NHDPlusV2 field name retained.,NHDPlusV2
va_10,NHDPlusV2 VA flow/velocity estimate field for month 10; original NHDPlusV2 field name retained.,NHDPlusV2
va_11,NHDPlusV2 VA flow/velocity estimate field for month 11; original NHDPlusV2 field name retained.,NHDPlusV2
va_12,NHDPlusV2 VA flow/velocity estimate field for month 12; original NHDPlusV2 field name retained.,NHDPlusV2
va_ma,NHDPlusV2 VA flow/velocity estimate field for mean annual; original NHDPlusV2 field name retained.,NHDPlusV2
vc_01,NHDPlusV2 VC flow/velocity estimate field for month 01; original NHDPlusV2 field name retained.,NHDPlusV2
vc_02,NHDPlusV2 VC flow/velocity estimate field for month 02; original NHDPlusV2 field name retained.,NHDPlusV2
vc_03,NHDPlusV2 VC flow/velocity estimate field for month 03; original NHDPlusV2 field name retained.,NHDPlusV2
vc_04,NHDPlusV2 VC flow/velocity estimate field for month 04; original NHDPlusV2 field name retained.,NHDPlusV2
vc_05,NHDPlusV2 VC flow/velocity estimate field for month 05; original NHDPlusV2 field name retained.,NHDPlusV2
vc_06,NHDPlusV2 VC flow/velocity estimate field for month 06; original NHDPlusV2 field name retained.,NHDPlusV2
vc_07,NHDPlusV2 VC flow/velocity estimate field for month 07; original NHDPlusV2 field name retained.,NHDPlusV2
vc_08,NHDPlusV2 VC flow/velocity estimate field for month 08; original NHDPlusV2 field name retained.,NHDPlusV2
vc_09,NHDPlusV2 VC flow/velocity estimate field for month 09; original NHDPlusV2 field name retained.,NHDPlusV2
vc_10,NHDPlusV2 VC flow/velocity estimate field for month 10; original NHDPlusV2 field name retained.,NHDPlusV2
